horizon,sensor_id,method,n,rmse,mae,median_ae,r2
6h,1,random_forest,227,3.7036446915453576,2.5590520863861834,1.3961131740335624,-0.08073033425517306
6h,1,tft,227,2.897059738537394,2.1111208272925555,1.4559568023681635,0.33873793242175043
6h,1,xgboost,227,3.9650246929753488,2.7192023325991186,1.8296670000000006,-0.2386554049955194
6h,1,prophet,227,9.011988062025724,8.270124350387444,8.890359647388426,-5.39882046254745
6h,1,persistence,227,5.286745499224289,4.096960352422908,3.74,-1.202092297842567
6h,1,weighted,227,2.8677395042451064,2.076538303896763,1.4192085816391575,0.35205505304583007
6h,1,stacking_original,227,2.7534430745522305,1.969775053564024,1.4540320882959108,0.4026746945978532
6h,1,stacking_advanced,227,2.819347954295425,2.072669673354398,1.4841984840112463,0.3737379920956806
6h,2,gru,227,4.666497370428424,3.5204926607577285,2.735680618286132,0.4824727771683732
6h,2,lightgbm,227,3.5825212921080456,2.592978387037744,1.682741101974191,0.6949797245294029
6h,2,lstm,227,3.590276606154144,2.570304019608687,1.8974765777587894,0.6936577011615697
6h,2,random_forest,227,3.2900759972078317,2.4662695959142598,1.9156735060690906,0.7427454835683861
6h,2,tft,227,3.050288695145513,2.274622226160529,1.6055068206787126,0.7788774475514175
6h,2,xgboost,227,3.360887452124304,2.4447734052863437,1.8683510000000005,0.7315526711019988
6h,2,prophet,227,15.734684030397604,14.95944476275093,15.112560973976365,-4.8839259841534295
6h,2,persistence,227,8.516339594456396,6.94488986784141,6.060000000000002,-0.723681777101864
6h,2,weighted,227,2.9972840812540325,2.2326361978620595,1.651695641164519,0.7864955345346506
6h,2,stacking_original,227,2.9074113084246167,2.1523257475392943,1.5695605109839974,0.7991073261948669
6h,2,stacking_advanced,227,2.867807937937967,2.135550029280854,1.5556226577170946,0.8045429798039034
6h,4,gru,227,5.8245614997613195,4.026410646648659,2.618236389160156,0.3617066184107254
6h,4,lightgbm,227,4.194983837550118,3.125397745153531,2.5976118845955156,0.6689036030512614
6h,4,lstm,227,5.123996472756707,3.1608564561684225,1.8138121032714842,0.5060175553061033
6h,4,random_forest,227,5.011345173651698,3.9711543197677637,3.33911098985892,0.5274992464392685
6h,4,tft,227,3.171361038514153,2.151029202129347,1.6801143646240249,0.8107720677736172
6h,4,xgboost,227,4.313004004381878,3.235747757709251,2.7368200000000016,0.6500116457337806
6h,4,prophet,227,15.034901004620881,14.070855764737873,13.687273428652496,-3.252996415198335
6h,4,persistence,227,9.786647921175035,7.897885462555065,7.27,-0.8020291013579455
6h,4,weighted,227,3.148818579240504,2.1105631610006546,1.5529856522878838,0.8134526219281605
6h,4,stacking_original,227,3.05994531989359,2.073620203959181,1.6378995374607008,0.8238343613473343
6h,4,stacking_advanced,227,3.0929647592593836,2.095930888649448,1.6016224740085825,0.8200118909195756
6h,5,gru,227,6.887273527130693,4.885991213290176,2.674071273803712,0.25393576842854404
6h,5,lightgbm,227,3.886353609239294,2.941271354557423,2.1032022837087467,0.7624439018372231
6h,5,lstm,227,6.185046342009589,4.601196309060252,3.448405456542968,0.39831737199202133
6h,5,random_forest,227,4.484842944587938,3.23894514961644,2.3563220880496303,0.6836440298771378
6h,5,tft,227,6.868598842588372,3.708038353604893,1.7407691192626906,0.2579761554616542
6h,5,xgboost,227,4.255186431204159,3.1936005220264314,2.306832,0.7152139305941598
6h,5,prophet,227,14.26921669270479,13.282466248709813,13.402639231087466,-2.202446056837025
6h,5,persistence,227,11.178294456684903,8.839295154185022,7.420000000000002,-0.9653171669778786
6h,5,weighted,227,6.559016125427681,3.6029273053191355,1.7179998272441033,0.32335799626251793
6h,5,stacking_original,227,6.42282674613374,3.5581065104858003,1.6002546591843156,0.35116544500783686
6h,5,stacking_advanced,227,6.232570261444974,3.407537529888094,1.5984484396955914,0.38903557523654875
