horizon,subset,sensor_id,method,n,underprediction_rate,mean_underprediction,worst_underprediction
3h,p95_per_sensor,2,prophet,12,1.0,28.74307596141702,33.08043039301195
3h,p95_per_sensor,2,persistence,12,1.0,12.28,18.310000000000002
3h,p95_per_sensor,2,weighted,12,1.0,5.783085435231527,9.4461996459961
3h,p95_per_sensor,2,stacking_original,12,1.0,6.269319692955803,9.537046665829912
3h,p95_per_sensor,2,stacking_advanced,12,1.0,6.153064329671064,9.47177499532122
3h,p95_per_sensor,4,gru,7,1.0,10.816364092145648,22.087728118896482
3h,p95_per_sensor,4,lightgbm,7,1.0,10.03111657985963,22.5269881404557
3h,p95_per_sensor,4,lstm,7,1.0,11.659470498221262,26.142917251586912
3h,p95_per_sensor,4,random_forest,7,1.0,7.8362309518145405,23.295487632275155
3h,p95_per_sensor,4,tft,7,1.0,6.736430653163365,24.339587783813478
3h,p95_per_sensor,4,xgboost,7,1.0,9.263918285714285,23.500856000000002
3h,p95_per_sensor,4,prophet,7,1.0,28.205678506652134,39.43534518694334
3h,p95_per_sensor,4,persistence,7,1.0,9.998571428571427,20.749999999999996
3h,p95_per_sensor,4,weighted,7,1.0,6.736430653163365,24.339587783813478
3h,p95_per_sensor,4,stacking_original,7,1.0,7.189787843448623,26.224928731653993
3h,p95_per_sensor,4,stacking_advanced,7,1.0,7.080952901048219,26.335913810909936
3h,p95_per_sensor,5,gru,29,1.0,13.925450676227438,20.047717742919918
3h,p95_per_sensor,5,lightgbm,29,0.8620689655172413,8.327195151448384,14.632074123499478
3h,p95_per_sensor,5,lstm,29,1.0,14.8842795036579,19.328192291259768
3h,p95_per_sensor,5,random_forest,29,0.9310344827586207,8.06049109777798,14.157458639263794
3h,p95_per_sensor,5,tft,29,0.896551724137931,5.059996857276331,11.960566101074221
3h,p95_per_sensor,5,xgboost,29,0.8275862068965517,8.302036791666666,14.729549000000002
3h,p95_per_sensor,5,prophet,29,1.0,24.730993279973305,29.74000570369264
3h,p95_per_sensor,5,persistence,29,1.0,7.247241379310346,19.590000000000003
3h,p95_per_sensor,5,weighted,29,0.896551724137931,5.059996857276331,11.960566101074221
3h,p95_per_sensor,5,stacking_original,29,0.8275862068965517,5.634306051134355,11.68877847589652
3h,p95_per_sensor,5,stacking_advanced,29,0.8275862068965517,5.490771705925322,11.558237469014792
6h,p95_per_sensor,2,gru,12,1.0,10.923340441385909,18.025785751342774
6h,p95_per_sensor,2,lightgbm,12,0.8333333333333334,5.149002771092189,11.83041627576441
6h,p95_per_sensor,2,lstm,12,0.9166666666666666,5.201371057683771,13.08586723327636
6h,p95_per_sensor,2,random_forest,12,0.5833333333333334,7.203988970398046,12.882549538333851
6h,p95_per_sensor,2,tft,12,0.5833333333333334,6.18504506792341,11.039561157226562
6h,p95_per_sensor,2,xgboost,12,0.8333333333333334,5.107523100000001,12.312920000000002
6h,p95_per_sensor,2,prophet,12,1.0,24.080438859840523,25.941785867924278
6h,p95_per_sensor,2,persistence,12,0.9166666666666666,15.062727272727273,22.61
6h,p95_per_sensor,2,weighted,12,0.5833333333333334,6.222528718906919,10.966167705246232
6h,p95_per_sensor,2,stacking_original,12,0.5833333333333334,6.485447653002541,11.10717935972054
