horizon,subset,method,n,threshold_p90,threshold_p95,bias_pred_minus_actual,underprediction_rate,mean_underprediction,worst_underprediction
1h,p90,stacking_advanced,102,33.295,36.0025,-5.9461806146523655,0.9509803921568627,6.282251977993999,28.506489060609105
1h,p95,gru,51,33.295,36.0025,-7.1426501001096225,1.0,7.1426501001096225,27.69796714782715
1h,p95,lightgbm,51,33.295,36.0025,-6.23963656565578,0.8823529411764706,7.175287610473809,28.398457722978705
1h,p95,lstm,51,33.295,36.0025,-8.77274657305549,1.0,8.77274657305549,28.404784774780275
1h,p95,random_forest,51,33.295,36.0025,-7.273756007012897,0.9411764705882353,7.793025933909905,31.216140595374803
1h,p95,tft,51,33.295,36.0025,-7.741964247460458,1.0,7.741964247460458,24.526918029785158
1h,p95,xgboost,51,33.295,36.0025,-6.162493862745097,0.8627450980392157,7.363488749999998,28.871456000000002
1h,p95,prophet,51,33.295,36.0025,-24.95061379144333,1.0,24.95061379144333,39.030490379596586
1h,p95,persistence,51,33.295,36.0025,-5.156470588235293,0.9607843137254902,5.593061224489796,28.09
1h,p95,weighted,51,33.295,36.0025,-7.186832402105235,1.0,7.186832402105235,27.7043717097586
1h,p95,stacking_original,51,33.295,36.0025,-8.249389547344126,1.0,8.249389547344126,28.506489060609077
1h,p95,stacking_advanced,51,33.295,36.0025,-8.249389547344114,1.0,8.249389547344114,28.506489060609105
3h,all,gru,956,33.099999999999994,36.4725,-0.941858256431803,0.4989539748953975,4.734567840704128,22.087728118896482
3h,all,lightgbm,956,33.099999999999994,36.4725,0.23875040022996225,0.4372384937238494,3.247141857188392,22.5269881404557
3h,all,lstm,956,33.099999999999994,36.4725,-1.3826418379061391,0.5209205020920502,4.633714922250035,26.142917251586912
3h,all,random_forest,956,33.099999999999994,36.4725,0.5575981640186756,0.3797071129707113,3.961372539990228,23.295487632275155
3h,all,tft,956,33.099999999999994,36.4725,-0.049483177272844486,0.4790794979079498,2.3797965627778566,24.339587783813478
3h,all,xgboost,956,33.099999999999994,36.4725,0.2764683551255229,0.42782426778242677,3.2391431454767723,23.500856000000002
3h,all,prophet,956,33.099999999999994,36.4725,-12.262382559823232,0.9769874476987448,12.610817307753358,39.43534518694334
3h,all,persistence,956,33.099999999999994,36.4725,-0.011213389121338822,0.502092050209205,4.380458333333333,20.749999999999996
3h,all,weighted,956,33.099999999999994,36.4725,-0.049483177272844486,0.4790794979079498,2.3797965627778566,24.339587783813478
3h,all,stacking_original,956,33.099999999999994,36.4725,-0.5388880339649941,0.5679916317991632,2.4545881232523126,26.224928731653993
3h,all,stacking_advanced,956,33.099999999999994,36.4725,-0.5383998369640189,0.5638075313807531,2.473722848621379,26.335913810909936
3h,p90,gru,96,33.099999999999994,36.4725,-10.92268888235092,1.0,10.92268888235092,22.087728118896482
3h,p90,lightgbm,96,33.099999999999994,36.4725,-5.359541323519548,0.75,7.979820230608867,22.5269881404557
3h,p90,lstm,96,33.099999999999994,36.4725,-10.992923796971638,0.9791666666666666,11.241823236993019,26.142917251586912
3h,p90,random_forest,96,33.099999999999994,36.4725,-5.406386713197005,0.7916666666666666,7.744984328389277,23.295487632275155
3h,p90,tft,96,33.099999999999994,36.4725,-3.3146132834752393,0.78125,4.9842784871419274,24.339587783813478
3h,p90,xgboost,96,33.099999999999994,36.4725,-5.300270458333333,0.7291666666666666,8.010212742857142,23.500856000000002
3h,p90,prophet,96,33.099999999999994,36.4725,-24.23872647135992,1.0,24.23872647135992,39.43534518694334
3h,p90,persistence,96,33.099999999999994,36.4725,-6.66375,0.8645833333333334,7.920843373493977,20.749999999999996
3h,p90,weighted,96,33.099999999999994,36.4725,-3.3146132834752393,0.78125,4.9842784871419274,24.339587783813478
3h,p90,stacking_original,96,33.099999999999994,36.4725,-3.561943145212394,0.7708333333333334,5.384828065226103,26.224928731653993
3h,p90,stacking_advanced,96,33.099999999999994,36.4725,-3.4439920671900004,0.7604166666666666,5.363607116815674,26.335913810909936
