horizon,method,overall_rmse,overall_mae,overall_median_ae,overall_r2,p90_mae,p90_rmse,p95_mae,p95_rmse,sensor_mean_mae,sensor_worst_mae,sensor_rmse_std,overall_mae_score,overall_rmse_score,overall_median_ae_score,p90_mae_score,p90_rmse_score,p95_mae_score,p95_rmse_score,sensor_mean_mae_score,sensor_worst_mae_score,sensor_rmse_std_score,overall_r2_score,overall_accuracy_score,high_pm_score,sensor_stability_score,final_score,final_score_100,final_rank
3h,gru,5.13220469909106,3.782804630630684,2.869002380371093,0.5135347512779026,10.92268888235092,11.705287811373385,13.274344868659972,13.685136235091717,3.782804630630684,4.554468176933512,0.9877130207907098,0.8470585926552603,0.8078319476404823,0.8953612853574902,0.6737042750152945,0.6821758362205417,0.6216189680036265,0.6495896212365828,0.8470585926552602,0.8367096215244672,0.7358419450187629,0.9072087642705855,0.856846376029039,0.6549500643971012,0.8156322908503584,0.7678450343405278,76.78450343405278,10
3h,prophet,13.893130290534206,12.378837869970983,12.46806446413576,-2.5648732951280597,24.23872647135992,24.512037608282515,26.24073887922489,26.506408401814483,12.378837869970985,14.54589327300474,2.992489154446792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
6h,lightgbm,3.975257572868103,2.90068627682299,2.06657223832986,0.6806144656400854,4.2788476568591465,5.923600657861971,5.593994742009361,7.440926220191864,2.9006862768229906,3.125397745153531,0.2561877965728753,0.9537313108726283,1.0,0.9519789508002271,1.0,1.0,1.0,1.0,0.9537313108726283,1.0,1.0,1.0,0.9706439792772923,1.0,0.9814925243490513,0.9845560965807272,98.45560965807272,1
6h,xgboost,3.991415801061979,2.8983310044052866,2.119178500000002,0.6780127762612824,5.320089087912088,6.968522643989585,6.786056695652173,8.530871985732647,2.898331004405286,3.235747757709251,0.37748383294158444,0.9539618176592665,0.998350321374544,0.9471717178564802,0.9413831231661554,0.9361325284271049,0.9321933356368655,0.9318921531535809,0.9539618176592665,0.9906752092169628,0.9493223870250279,0.9992593836497313,0.9690236143861974,0.9356778739570434,0.9656516470459006,0.9550109247464764,95.50109247464763,2
6h,random_forest,4.176391407534667,3.058855287921161,2.2314079158702587,0.6474773045702056,6.562962861510676,7.9190092300688,7.728304987817789,9.215890122989272,3.058855287921162,3.971154319767764,0.6688997757479632,0.938251559902027,0.9794651874002395,0.9369160386255196,0.8714153167244042,0.8780371147763688,0.8785965292809815,0.88908716977338,0.938251559902027,0.9285319237487749,0.8275684962434154,0.9905669279777233,0.9547605074669153,0.8784284107115655,0.9071789213337359,0.9147113515381396,91.47113515381396,3
6h,stacking_advanced,4.018221258285765,2.4279220302931983,1.573920395295719,0.6736734655164074,6.846098717288355,9.698857457967824,8.346833640384839,10.65804143662666,2.4279220302931983,3.407537529888094,1.435199133422573,1.0,0.9956136110559949,0.9969981575342319,0.8554761319297861,0.7692496573311718,0.8434134881517596,0.7989709237142525,1.0,0.9761586391946038,0.5074078097626349,0.9980241230099582,0.9979059575238015,0.8233110022335486,0.86850747615877,0.9021882791346941,90.21882791346941,4
6h,stacking_original,4.081986589050257,2.438456878887074,1.5410707888600346,0.6632343074259618,6.99151673242342,9.893428928453655,8.320376307898675,10.73658091373748,2.438456878887075,3.5581065104858003,1.52627836140724,0.998968971029066,0.9891034725714317,1.0,0.8472897981666602,0.7573571064755784,0.8449184296175543,0.7940631981671858,0.9989689710290659,0.9634352673528486,0.46935481146155517,0.9950524342188922,0.9962707865561193,0.8179465292638172,0.8541286348505123,0.8965126532980771,89.6512653298077,5
6h,weighted,4.187582617290594,2.505666242019653,1.5700073348231145,0.6455855081203443,7.021406174129894,10.06368763668009,8.226202527010825,10.847731101971949,2.5056662420196534,3.602927305319136,1.5423127013619067,0.9923912969514346,0.9783226178495541,0.9973557384118228,0.8456071665781639,0.746950594456449,0.8502752065308313,0.7871177149729208,0.9923912969514346,0.9596478229759007,0.4626556471783819,0.9900283950561675,0.9898198748041531,0.8155783738185725,0.8484971686167345,0.8918587331724371,89.18587331724372,6
6h,tft,4.328175052761809,2.5612026522968305,1.589426155090333,0.6213880390397253,7.113004285372221,10.449118760387345,8.33292311295219,11.191612275371115,2.561202652296831,3.708038353604893,1.6608650126814122,0.9869560363088915,0.9639687955792663,0.9955812197603624,0.8404506341498733,0.7233923655518121,0.8442047443963343,0.765629484061159,0.9869560363088915,0.9507657348677957,0.41312436544650677,0.9831401625937382,0.9828885377749588,0.8032009834864564,0.8308315130889118,0.8806021111223485,88.06021111223485,7
6h,lstm,4.702713882945253,3.2018091138343983,2.073128433227538,0.553026466255069,8.546621688172058,10.532420191482728,10.260384090257729,12.243234760854891,3.201809113834398,4.601196309060252,1.1642692796622687,0.9242608950425363,0.9257301536227764,0.9513798366435252,0.7597448802097944,0.718300835415498,0.7345672384245961,0.6999163582837099,0.9242608950425363,0.8752921497005896,0.620602590756917,0.9636798461751442,0.9363353139794196,0.7319370743301586,0.8312072581014501,0.8335504069441214,83.35504069441214,8
6h,gru,5.455412047146242,3.893626533289838,2.673966751098633,0.3984942104745336,11.026048662793505,12.2315599458326,13.455865808569865,14.478833135209012,3.8936265332898383,4.885991213290176,1.1077482961422136,0.8565538183153051,0.8488832334033383,0.8964744002214067,0.6201650851156556,0.6144464219760021,0.5528023933257421,0.5602196903352196,0.8565538183153051,0.8512264261314311,0.644217117773177,0.9196895388742669,0.8725082826337089,0.5868234659946636,0.8016050559154172,0.7440537106344325,74.40537106344325,9
6h,persistence,8.961172670960343,6.9447577092511015,5.59,-0.6229845532161282,11.458791208791208,13.986227487805971,14.38695652173913,16.46850577947786,6.9447577092511015,8.839295154185022,2.1798239028425677,0.5579444355127338,0.49096166566220695,0.6300032491809241,0.5958037643277758,0.5071980523898926,0.4998402504718672,0.43589027504258154,0.5579444355127338,0.5171645506786611,0.19630278930230338,0.6289077568501389,0.5680838616343253,0.5173108699263876,0.4532610642682007,0.5248101054779253,52.48101054779253,10
6h,prophet,13.770030896921206,12.645722781646516,12.48421880888101,-2.8322561020418453,22.042356859242,22.28438589632241,23.17430141007959,23.444159562725424,12.645722781646514,14.95944476275093,2.6496714128713155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
