scope_type,scope_value,source_feature,target_feature,mutual_information,pearson,spearman,n_observations
sensor,5,temperature,pm25,0.4954845230773963,-0.47926449507574875,-0.48349303724864345,829
sensor,2,pm25,temperature,0.4890311850594875,-0.5367733536451671,-0.5179701679101537,1582
sensor,2,temperature,pm25,0.4874999759369669,-0.5367733536451671,-0.5179701679101537,1582
sensor,5,humidity,aqi,0.4861468297548992,0.5967119440921902,0.6170065240804713,829
global,All sensors,humidity,no2,0.48036204009127115,0.5231501029024291,0.5753938333397086,1627
sensor,1,humidity,no2,0.48036204009127115,0.5231501029024291,0.5753938333397086,1627
global,All sensors,no2,humidity,0.47864208291401766,0.5231501029024291,0.5753938333397085,1627
sensor,1,no2,humidity,0.47864208291401766,0.5231501029024291,0.5753938333397085,1627
sensor,5,aqi,humidity,0.47661190141770904,0.5967119440921902,0.6170065240804713,829
global,All sensors,humidity,pm25,0.4746859086111286,0.66888244264873,0.7021866237197366,5635
global,All sensors,pm25,humidity,0.4746529465812639,0.6688824426487301,0.7021866237197366,5635
sensor,2,aqi,temperature,0.3973206820294162,-0.46815540786695076,-0.4511212490187402,1582
global,All sensors,aqi,humidity,0.39261041358262094,0.6185960334510469,0.6569955226085301,5635
global,All sensors,humidity,aqi,0.3922080922972606,0.6185960334510469,0.6569955226085301,5635
sensor,1,o3,no2,0.39201870212879264,-0.6763142357506958,-0.6908184146269125,1628
global,All sensors,o3,no2,0.39201870212879264,-0.6763142357506958,-0.6908184146269125,1628
global,All sensors,no2,o3,0.3907041926548822,-0.6763142357506958,-0.6908184146269126,1628
sensor,1,no2,o3,0.3907041926548822,-0.6763142357506958,-0.6908184146269126,1628
sensor,5,temperature,aqi,0.3875461214949185,-0.4802668714109861,-0.46384000737503395,829
sensor,2,temperature,aqi,0.38435321878889406,-0.4681554078669507,-0.4511212490187402,1582
sensor,1,aqi,humidity,0.3796025159842147,0.4503266981267951,0.48833765905059484,1627
sensor,1,pm25,humidity,0.37913195998501514,0.47805338289670896,0.48994444375067775,1627
sensor,1,humidity,pm25,0.37831702050891636,0.47805338289670896,0.48994444375067775,1627
sensor,1,humidity,aqi,0.378139108735013,0.45032669812679516,0.48833765905059484,1627
sensor,5,aqi,temperature,0.37747555005011524,-0.4802668714109861,-0.46384000737503395,829
global,All sensors,o3,temperature,0.3523427680286435,0.4040353674278119,0.488736833082624,1628
sensor,1,o3,temperature,0.3523427680286435,0.4040353674278119,0.488736833082624,1628
sensor,1,temperature,o3,0.3517108852711708,0.4040353674278119,0.488736833082624,1628
global,All sensors,temperature,o3,0.3517108852711708,0.4040353674278119,0.488736833082624,1628
sensor,1,temperature,aqi,0.297061806953705,-0.29891863060814766,-0.2748745397564352,1628
sensor,1,aqi,temperature,0.2925708613333713,-0.2989186306081476,-0.2748745397564352,1628
sensor,1,pm25,temperature,0.2906762404379304,-0.3280029778786028,-0.27728148880252956,1627
sensor,1,temperature,pm25,0.2900379502819588,-0.32800297787860283,-0.27728148880252956,1627
global,All sensors,pm25,temperature,0.2763097060157751,-0.325235273325466,-0.3568881705026192,5635
global,All sensors,temperature,pm25,0.2763069055728353,-0.325235273325466,-0.3568881705026191,5635
sensor,1,humidity,o3,0.2649610230348749,-0.3699658794878814,-0.3942319434851353,1627
global,All sensors,humidity,o3,0.2649610230348749,-0.3699658794878814,-0.3942319434851353,1627
global,All sensors,o3,humidity,0.26463762205793806,-0.3699658794878814,-0.3942319434851353,1627
sensor,1,o3,humidity,0.26463762205793806,-0.3699658794878814,-0.3942319434851353,1627
global,All sensors,temperature,aqi,0.2382208460414894,-0.33047088492571886,-0.34658110994792696,5636
global,All sensors,aqi,temperature,0.2351464162176784,-0.33047088492571886,-0.34658110994792696,5636
sensor,1,aqi,no2,0.11622324304034848,0.23585727411530194,0.22319402231604615,1628
global,All sensors,aqi,no2,0.11622324304034848,0.23585727411530194,0.22319402231604615,1628
global,All sensors,no2,pm25,0.11450478766818284,0.21484156824352824,0.22193348258396273,1627
sensor,1,no2,pm25,0.11450478766818284,0.21484156824352824,0.22193348258396273,1627
sensor,1,pm25,no2,0.1134903412741739,0.2148415682435282,0.22193348258396275,1627
global,All sensors,pm25,no2,0.1134903412741739,0.2148415682435282,0.22193348258396275,1627
global,All sensors,o3,pm25,0.10394037696482261,-0.03245429535615829,-0.030263905398221304,1627
sensor,1,o3,pm25,0.10394037696482261,-0.03245429535615829,-0.030263905398221304,1627
sensor,1,pm25,o3,0.10390264824146467,-0.03245429535615829,-0.030263905398221304,1627
global,All sensors,pm25,o3,0.10390264824146467,-0.03245429535615829,-0.030263905398221304,1627
global,All sensors,o3,aqi,0.10150897593043862,-0.05609965501831454,-0.032770727789126,1628
sensor,1,o3,aqi,0.10150897593043862,-0.05609965501831454,-0.032770727789126,1628
sensor,1,no2,aqi,0.1006769538840353,0.23585727411530194,0.22319402231604613,1628
global,All sensors,no2,aqi,0.1006769538840353,0.23585727411530194,0.22319402231604613,1628
global,All sensors,aqi,o3,0.09680883518220185,-0.05609965501831454,-0.032770727789126,1628
sensor,1,aqi,o3,0.09680883518220185,-0.05609965501831454,-0.032770727789126,1628
