sensor_id,city,feature,pattern_type,period,mean,median,std,min,max,count
1,Tulkarem,humidity,daily,2026-08-19 00:00:00+00:00,52.28852631578949,54.87,7.55096963879489,41.72,61.91,95
1,Tulkarem,humidity,daily,2026-08-20 00:00:00+00:00,55.41645833333334,59.239999999999995,7.154883055304798,42.25,63.46,96
1,Tulkarem,humidity,daily,2026-08-21 00:00:00+00:00,55.14010526315789,57.79,6.826754858913231,43.39,64.69,95
1,Tulkarem,humidity,daily,2026-08-22 00:00:00+00:00,55.576458333333335,59.89,8.01374660773489,43.41,64.92,96
1,Tulkarem,humidity,daily,2026-08-23 00:00:00+00:00,63.54666666666666,63.5,0.2631222782915432,63.31,63.83,3
1,Tulkarem,humidity,weekly,2026-08-03/2026-08-09,53.7224934383202,56.64,8.083711551670726,39.17,66.83,381
1,Tulkarem,humidity,weekly,2026-08-10/2026-08-16,52.76144992526159,55.9,9.319306283257163,29.04,67.08,669
1,Tulkarem,humidity,weekly,2026-08-17/2026-08-23,53.47939341421144,54.61,7.50099725866304,40.06,64.92,577
1,Tulkarem,no2,hour,0,12.083142857142857,12.08,0.015561272734250335,12.05,12.13,70
1,Tulkarem,no2,hour,1,12.091492537313432,12.09,0.016260542626086977,12.06,12.13,67
1,Tulkarem,no2,hour,2,12.100588235294119,12.1,0.015441981249147805,12.06,12.14,68
1,Tulkarem,no2,hour,3,12.101617647058825,12.1,0.014923715886922108,12.07,12.13,68
1,Tulkarem,no2,hour,4,12.08558823529412,12.085,0.02851458662808699,12.02,12.16,68
1,Tulkarem,no2,hour,5,12.061470588235292,12.06,0.03369152007585822,11.99,12.15,68
1,Tulkarem,no2,hour,6,12.02720588235294,12.024999999999999,0.0332716359069741,11.96,12.14,68
1,Tulkarem,no2,hour,7,12.01323529411765,12.01,0.049848761611905226,11.92,12.26,68
1,Tulkarem,no2,hour,8,12.020441176470587,12.02,0.04999802454394312,11.89,12.2,68
1,Tulkarem,no2,hour,9,12.041641791044773,12.02,0.08247308128194003,11.95,12.36,67
1,Tulkarem,no2,hour,10,12.027794117647057,12.02,0.07247944820873478,11.95,12.34,68
1,Tulkarem,no2,hour,11,12.024558823529409,12.02,0.04268712356200915,11.93,12.2,68
1,Tulkarem,no2,hour,12,12.02705882352941,12.02,0.04738092139277265,11.96,12.22,68
1,Tulkarem,no2,hour,13,12.040882352941175,12.03,0.04441108151740087,11.96,12.22,68
1,Tulkarem,no2,hour,14,12.015,12.02,0.07101607974317879,11.88,12.29,68
1,Tulkarem,no2,hour,15,12.00820895522388,12.0,0.08368275904278667,11.84,12.28,67
1,Tulkarem,no2,hour,16,12.168787878787876,12.15,0.05760649406541048,12.09,12.38,66
1,Tulkarem,no2,hour,17,12.115588235294119,12.11,0.024700133115912966,12.06,12.22,68
1,Tulkarem,no2,hour,18,12.088656716417914,12.09,0.01641281118129673,12.05,12.13,67
1,Tulkarem,no2,hour,19,12.090882352941176,12.094999999999999,0.01742663034345119,12.06,12.13,68
1,Tulkarem,no2,hour,20,12.086029411764708,12.09,0.014876577391076413,12.05,12.12,68
1,Tulkarem,no2,hour,21,12.087205882352942,12.08,0.015438427365127991,12.06,12.13,68
1,Tulkarem,no2,hour,22,12.089705882352943,12.085,0.016204899594000025,12.06,12.14,68
1,Tulkarem,no2,hour,23,12.087352941176471,12.09,0.013227926932133162,12.06,12.12,68
1,Tulkarem,no2,day_of_week,Monday,12.067329842931935,12.08,0.05781723563342496,11.88,12.25,191
1,Tulkarem,no2,day_of_week,Tuesday,12.069166666666668,12.08,0.052000134246034224,11.88,12.22,192
1,Tulkarem,no2,day_of_week,Wednesday,12.06879581151832,12.08,0.05536591373234003,11.87,12.26,191
1,Tulkarem,no2,day_of_week,Thursday,12.068885017421604,12.08,0.04933272242650089,11.88,12.21,287
1,Tulkarem,no2,day_of_week,Friday,12.048986013986015,12.06,0.04994052406669295,11.88,12.16,286
1,Tulkarem,no2,day_of_week,Saturday,12.053972125435541,12.07,0.04817188691366959,11.84,12.22,287
1,Tulkarem,no2,day_of_week,Sunday,12.096752577319585,12.085,0.08542045124402198,11.88,12.38,194
1,Tulkarem,no2,day_type,Weekday,12.063696599825633,12.08,0.0530379561866466,11.87,12.26,1147
1,Tulkarem,no2,day_type,Weekend,12.071226611226612,12.08,0.06897729547008415,11.84,12.38,481
1,Tulkarem,no2,daily,2026-08-06 00:00:00+00:00,12.063645833333334,12.07,0.04403634364253582,11.95,12.18,96
1,Tulkarem,no2,daily,2026-08-07 00:00:00+00:00,12.049263157894734,12.07,0.05080714695208709,11.88,12.15,95
1,Tulkarem,no2,daily,2026-08-08 00:00:00+00:00,12.056315789473679,12.07,0.04245279309606536,11.93,12.12,95
1,Tulkarem,no2,daily,2026-08-09 00:00:00+00:00,12.054421052631575,12.06,0.057827987582280124,11.88,12.24,95
1,Tulkarem,no2,daily,2026-08-10 00:00:00+00:00,12.06147368421052,12.08,0.06523229230746415,11.88,12.25,95
1,Tulkarem,no2,daily,2026-08-11 00:00:00+00:00,12.066458333333335,12.08,0.054308653311985165,11.88,12.22,96
1,Tulkarem,no2,daily,2026-08-12 00:00:00+00:00,12.066041666666669,12.08,0.0617376310504323,11.87,12.26,96
1,Tulkarem,no2,daily,2026-08-13 00:00:00+00:00,12.070736842105257,12.09,0.05726463587447756,11.88,12.19,95
1,Tulkarem,no2,daily,2026-08-14 00:00:00+00:00,12.054166666666667,12.08,0.05046450898073472,11.91,12.12,96
1,Tulkarem,no2,daily,2026-08-15 00:00:00+00:00,12.050520833333335,12.065000000000001,0.056946323603283,11.84,12.22,96
1,Tulkarem,no2,daily,2026-08-16 00:00:00+00:00,12.138854166666667,12.105,0.08905196344260163,12.0,12.38,96
1,Tulkarem,no2,daily,2026-08-17 00:00:00+00:00,12.073125,12.09,0.04906091809384046,11.98,12.16,96
1,Tulkarem,no2,daily,2026-08-18 00:00:00+00:00,12.071875,12.08,0.049721593318248186,11.89,12.22,96
1,Tulkarem,no2,daily,2026-08-19 00:00:00+00:00,12.071578947368414,12.09,0.04825278714193908,11.93,12.21,95
1,Tulkarem,no2,daily,2026-08-20 00:00:00+00:00,12.072291666666667,12.085,0.04582527839905483,11.93,12.21,96
1,Tulkarem,no2,daily,2026-08-21 00:00:00+00:00,12.04347368421052,12.05,0.04846074131756702,11.89,12.16,95
1,Tulkarem,no2,daily,2026-08-22 00:00:00+00:00,12.055104166666666,12.06,0.04405725441589233,11.97,12.18,96
1,Tulkarem,no2,daily,2026-08-23 00:00:00+00:00,12.089999999999998,12.09,2.175583928816829e-15,12.09,12.09,3
1,Tulkarem,no2,weekly,2026-08-03/2026-08-09,12.055931758530182,12.07,0.04922542736500976,11.88,12.24,381
1,Tulkarem,no2,weekly,2026-08-10/2026-08-16,12.072626865671642,12.08,0.06888582347812904,11.84,12.38,670
1,Tulkarem,no2,weekly,2026-08-17/2026-08-23,12.064731369150781,12.08,0.04863382457446898,11.89,12.22,577
1,Tulkarem,o3,hour,0,48.22942857142856,47.035,10.903092485881867,27.85,66.55,70
1,Tulkarem,o3,hour,1,44.90029850746269,43.27,11.557834279953859,24.63,68.39,67
