sensor_id,city,feature,start_time,end_time,readings,classification
4,Nablus,temperature,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
4,Nablus,humidity,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
4,Nablus,aqi,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
4,Nablus,pm25,2026-08-13T09:00:00Z,2026-08-13T09:45:00Z,2,TIME_GAP
4,Nablus,temperature,2026-08-13T09:00:00Z,2026-08-13T09:45:00Z,2,TIME_GAP
4,Nablus,humidity,2026-08-13T09:00:00Z,2026-08-13T09:45:00Z,2,TIME_GAP
4,Nablus,aqi,2026-08-13T09:00:00Z,2026-08-13T09:45:00Z,2,TIME_GAP
4,Nablus,pm25,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
4,Nablus,temperature,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
4,Nablus,humidity,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
4,Nablus,aqi,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
4,Nablus,pm25,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
4,Nablus,temperature,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
4,Nablus,humidity,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
4,Nablus,aqi,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
5,Nablus,pm25,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
5,Nablus,temperature,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
5,Nablus,humidity,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
5,Nablus,aqi,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
5,Nablus,pm25,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
5,Nablus,temperature,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
5,Nablus,humidity,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
5,Nablus,aqi,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
5,Nablus,pm25,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
5,Nablus,temperature,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
5,Nablus,humidity,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
5,Nablus,aqi,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
5,Nablus,pm25,2026-08-09T11:00:00Z,2026-08-17T10:15:00Z,764,TIME_GAP
5,Nablus,temperature,2026-08-09T11:00:00Z,2026-08-17T10:15:00Z,764,TIME_GAP
5,Nablus,humidity,2026-08-09T11:00:00Z,2026-08-17T10:15:00Z,764,TIME_GAP
5,Nablus,aqi,2026-08-09T11:00:00Z,2026-08-17T10:15:00Z,764,TIME_GAP
5,Nablus,pm25,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
5,Nablus,temperature,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
5,Nablus,humidity,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
5,Nablus,aqi,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
5,Nablus,pm25,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
5,Nablus,temperature,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
5,Nablus,humidity,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
5,Nablus,aqi,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
