scope_type,scope_value,feature_a,feature_b,n_observations,correlation,absolute_correlation,pearson_correlation,spearman_minus_pearson
city,Tulkarem,temperature,no2,1628,-0.6375955117737544,0.6375955117737544,-0.5585927235987469,0.0790027881750075
global,All sensors,temperature,no2,1628,-0.6375955117737544,0.6375955117737544,-0.5585927235987469,0.0790027881750075
sensor,1,temperature,no2,1628,-0.6375955117737544,0.6375955117737544,-0.5585927235987469,0.0790027881750075
sensor,5,humidity,aqi,829,0.6170065240804713,0.6170065240804713,0.5967119440921902,0.020294579988281103
global,All sensors,humidity,no2,1627,0.5753938333397086,0.5753938333397086,0.5231501029024291,0.05224373043727948
sensor,1,humidity,no2,1627,0.5753938333397086,0.5753938333397086,0.5231501029024291,0.05224373043727948
city,Tulkarem,humidity,no2,1627,0.5753938333397086,0.5753938333397086,0.5231501029024291,0.05224373043727948
sensor,4,pm25,temperature,1597,-0.5436226964146554,0.5436226964146554,-0.5132379081206621,0.03038478829399338
city,Nablus,pm25,temperature,4008,-0.535089576762496,0.535089576762496,-0.48778423801505366,0.04730533874744236
sensor,4,temperature,aqi,1597,-0.523471456155612,0.523471456155612,-0.5023751036314734,0.02109635252413855
sensor,2,pm25,temperature,1582,-0.5179701679101537,0.5179701679101537,-0.5367733536451671,-0.018803185735013384
city,Nablus,temperature,aqi,4008,-0.4968621538409498,0.4968621538409498,-0.46832285528624545,0.02853929855470433
sensor,1,pm25,humidity,1627,0.48994444375067775,0.48994444375067775,0.47805338289670896,0.011891060853968793
city,Tulkarem,pm25,humidity,1627,0.48994444375067775,0.48994444375067775,0.47805338289670896,0.011891060853968793
global,All sensors,temperature,o3,1628,0.488736833082624,0.488736833082624,0.4040353674278119,0.08470146565481212
city,Tulkarem,temperature,o3,1628,0.488736833082624,0.488736833082624,0.4040353674278119,0.08470146565481212
sensor,1,temperature,o3,1628,0.488736833082624,0.488736833082624,0.4040353674278119,0.08470146565481212
sensor,1,humidity,aqi,1627,0.48833765905059484,0.48833765905059484,0.45032669812679516,0.038010960923799686
city,Tulkarem,humidity,aqi,1627,0.48833765905059484,0.48833765905059484,0.45032669812679516,0.038010960923799686
sensor,5,pm25,temperature,829,-0.48349303724864345,0.48349303724864345,-0.4792644950757487,0.004228542172894756
sensor,5,temperature,aqi,829,-0.46384000737503395,0.46384000737503395,-0.4802668714109861,-0.01642686403595217
sensor,2,temperature,aqi,1582,-0.4511212490187402,0.4511212490187402,-0.4681554078669507,-0.017034158848210523
global,All sensors,humidity,o3,1627,-0.3942319434851353,0.3942319434851353,-0.3699658794878814,0.024266063997253895
sensor,1,humidity,o3,1627,-0.3942319434851353,0.3942319434851353,-0.3699658794878814,0.024266063997253895
city,Tulkarem,humidity,o3,1627,-0.3942319434851353,0.3942319434851353,-0.3699658794878814,0.024266063997253895
global,All sensors,pm25,temperature,5635,-0.3561225018172841,0.3561225018172841,-0.3237577989895209,0.032364702827763214
global,All sensors,temperature,aqi,5636,-0.34747665541454936,0.34747665541454936,-0.3263493950017766,0.02112726041277274
sensor,1,pm25,temperature,1627,-0.27728148880252956,0.27728148880252956,-0.3280029778786028,-0.05072148907607321
city,Tulkarem,pm25,temperature,1627,-0.27728148880252956,0.27728148880252956,-0.3280029778786028,-0.05072148907607321
city,Tulkarem,temperature,aqi,1628,-0.2748745397564352,0.2748745397564352,-0.29891863060814766,-0.02404409085171244
sensor,1,temperature,aqi,1628,-0.2748745397564352,0.2748745397564352,-0.29891863060814766,-0.02404409085171244
sensor,1,no2,aqi,1628,0.22319402231604613,0.22319402231604613,0.23585727411530194,-0.012663251799255815
city,Tulkarem,no2,aqi,1628,0.22319402231604613,0.22319402231604613,0.23585727411530194,-0.012663251799255815
global,All sensors,no2,aqi,1628,0.22319402231604613,0.22319402231604613,0.23585727411530194,-0.012663251799255815
global,All sensors,pm25,no2,1627,0.22193348258396275,0.22193348258396275,0.2148415682435282,0.007091914340434546
city,Tulkarem,pm25,no2,1627,0.22193348258396275,0.22193348258396275,0.2148415682435282,0.007091914340434546
sensor,1,pm25,no2,1627,0.22193348258396275,0.22193348258396275,0.2148415682435282,0.007091914340434546
sensor,1,o3,aqi,1628,-0.032770727789126,0.032770727789126,-0.05609965501831454,-0.023328927229188542
global,All sensors,o3,aqi,1628,-0.032770727789126,0.032770727789126,-0.05609965501831454,-0.023328927229188542
city,Tulkarem,o3,aqi,1628,-0.032770727789126,0.032770727789126,-0.05609965501831454,-0.023328927229188542
global,All sensors,pm25,o3,1627,-0.030263905398221304,0.030263905398221304,-0.03245429535615829,-0.0021903899579369876
city,Tulkarem,pm25,o3,1627,-0.030263905398221304,0.030263905398221304,-0.03245429535615829,-0.0021903899579369876
sensor,1,pm25,o3,1627,-0.030263905398221304,0.030263905398221304,-0.03245429535615829,-0.0021903899579369876
