feature,target,association_method,score,signed_score,n_observations,notes
pm25_humidity_interaction,target_pm25_6h,absolute_pearson,0.4831982739346916,0.4831982739346916,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_humidity_interaction,target_pm25_6h,absolute_pearson,0.462829749168394,0.462829749168394,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
cos_day_of_week,target_pm25_6h,absolute_pearson,0.44832019280052826,-0.44832019280052826,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_lag_1h,target_pm25_6h,absolute_pearson,0.4354399606823268,0.4354399606823268,5323,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_mean_3h,target_pm25_6h,absolute_pearson,0.4338752469573859,0.4338752469573859,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_median_3h,target_pm25_6h,absolute_pearson,0.431382526745572,0.431382526745572,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_min_3h,target_pm25_6h,absolute_pearson,0.43132216256037265,0.43132216256037265,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
sin_hour,target_pm25_6h,absolute_pearson,0.4105372441654641,-0.4105372441654641,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_max_3h,target_pm25_6h,absolute_pearson,0.3738612014000752,0.3738612014000752,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
day_of_week,target_pm25_6h,absolute_pearson,0.35888928011909743,0.35888928011909743,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_mean_6h,target_pm25_6h,absolute_pearson,0.35591099520404146,0.35591099520404146,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
hour,target_pm25_6h,absolute_pearson,0.33334821783628343,0.33334821783628343,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity,target_pm25_6h,absolute_pearson,0.3251065549450927,0.3251065549450927,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
sin_day_of_week,target_pm25_6h,absolute_pearson,0.31417493692246573,-0.31417493692246573,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_lag_15m,target_pm25_6h,absolute_pearson,0.30187222020812055,0.30187222020812055,5324,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_lag_3h,target_pm25_6h,absolute_pearson,0.29881495816455217,0.29881495816455217,5323,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_slope_3h,target_pm25_6h,absolute_pearson,0.29785375628027755,0.29785375628027755,5323,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_delta_3h,target_pm25_6h,absolute_pearson,0.2978537562802775,0.2978537562802775,5323,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_mean_1h,target_pm25_6h,absolute_pearson,0.29329770490050044,0.29329770490050044,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_std_3h,target_pm25_6h,absolute_pearson,0.279559078887936,-0.279559078887936,1565,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_lag_1h,target_pm25_6h,absolute_pearson,0.23387844307202163,0.23387844307202163,5323,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_mean_3h,target_pm25_6h,absolute_pearson,0.21078189905976363,0.21078189905976363,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_std_6h,target_pm25_6h,absolute_pearson,0.20796535360675394,0.20796535360675394,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_lag_3h,target_pm25_6h,absolute_pearson,0.20283848269873161,0.20283848269873161,5324,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_lag_3h,target_pm25_6h,absolute_pearson,0.19903938130151716,0.19903938130151716,1558,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_lag_6h,target_pm25_6h,absolute_pearson,0.1796547603283179,0.1796547603283179,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_delta_1h,target_pm25_6h,absolute_pearson,0.16450619868734417,0.16450619868734417,5323,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_std_3h,target_pm25_6h,absolute_pearson,0.16090698546228724,0.16090698546228724,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_pct_change_1h,target_pm25_6h,absolute_pearson,0.15604413667268127,0.15604413667268127,5323,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_range_3h,target_pm25_6h,absolute_pearson,0.14248874492986763,0.14248874492986763,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_lag_3h,target_pm25_6h,absolute_pearson,0.11497695453083695,-0.11497695453083695,1558,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_mean_3h,target_pm25_6h,absolute_pearson,0.10935539245767992,0.10935539245767992,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_mean_3h,target_pm25_6h,absolute_pearson,0.08526705350915385,0.08526705350915385,1565,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_std_1h,target_pm25_6h,absolute_pearson,0.08430216061594278,0.08430216061594278,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_lag_1h,target_pm25_6h,absolute_pearson,0.08301891366423823,0.08301891366423823,5324,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2,target_pm25_6h,absolute_pearson,0.08298542957966215,0.08298542957966215,1565,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_lag_15m,target_pm25_6h,absolute_pearson,0.07642814791088895,0.07642814791088895,1558,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_lag_3h,target_pm25_6h,absolute_pearson,0.07316471382202848,0.07316471382202848,5323,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_delta_15m,target_pm25_6h,absolute_pearson,0.07030900578332713,0.07030900578332713,5324,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_mean_1h,target_pm25_6h,absolute_pearson,0.07030039334035176,0.07030039334035176,1565,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_std_3h,target_pm25_6h,absolute_pearson,0.05096784780909708,0.05096784780909708,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_lag_1h,target_pm25_6h,absolute_pearson,0.04271255122858635,0.04271255122858635,1558,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_mean_1h,target_pm25_6h,absolute_pearson,0.03700976692970285,0.03700976692970285,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_lag_15m,target_pm25_6h,absolute_pearson,0.028400883977842534,0.028400883977842534,5325,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
recent_anomaly_count_3h,target_pm25_6h,absolute_pearson,0.028352562309531443,-0.028352562309531443,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_lag_1h,target_pm25_6h,absolute_pearson,0.024555170152736592,0.024555170152736592,1558,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_cv_6h,target_pm25_6h,absolute_pearson,0.015965051394047566,0.015965051394047566,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3,target_pm25_6h,absolute_pearson,0.014799659573592812,-0.014799659573592812,1565,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
cos_hour,target_pm25_6h,absolute_pearson,0.00953881998084225,-0.00953881998084225,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature,target_pm25_6h,absolute_pearson,0.009297216659346968,0.009297216659346968,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_std_3h,target_pm25_6h,absolute_pearson,0.007222714323872558,0.007222714323872558,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_lag_15m,target_pm25_6h,absolute_pearson,0.005942073839688847,-0.005942073839688847,1558,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
o3_mean_1h,target_pm25_6h,absolute_pearson,0.003234138768422878,0.003234138768422878,1565,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_mean_3h,target_pm25_6h,absolute_pearson,0.0016685555600280194,0.0016685555600280194,1565,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
minute,target_pm25_6h,absolute_pearson,0.0015702237663212117,-0.0015702237663212117,5350,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
no2_std_3h,target_pm25_6h,absolute_pearson,0.0011207148375643467,-0.0011207148375643467,1565,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_min_3h,target_pm25_6h,mutual_information,0.34231692995786833,,2675,Nonlinear screening only; final selection must use training folds.
pm25_max_3h,target_pm25_6h,mutual_information,0.3303529926894564,,2675,Nonlinear screening only; final selection must use training folds.
day_of_week,target_pm25_6h,mutual_information,0.3030687251895472,,2675,Nonlinear screening only; final selection must use training folds.
sin_day_of_week,target_pm25_6h,mutual_information,0.30045259286999393,,2675,Nonlinear screening only; final selection must use training folds.
pm25_median_3h,target_pm25_6h,mutual_information,0.29101497753228855,,2675,Nonlinear screening only; final selection must use training folds.
pm25,target_pm25_6h,mutual_information,0.2786611660974039,,2675,Nonlinear screening only; final selection must use training folds.
pm25_mean_3h,target_pm25_6h,mutual_information,0.2713665205731699,,2675,Nonlinear screening only; final selection must use training folds.
