row_index,timestamp,sensor_id,city,feature,value,zscore_flag,mad_flag,iqr_flag,rolling_zscore_flag,isolation_forest_flag,lof_flag,anomaly_methods_triggered,methods,quality_flag,analytical_category
996,2026-08-16T10:15:00Z,1,Tulkarem,temperature,29.47,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
996,2026-08-16T10:15:00Z,1,Tulkarem,humidity,48.37,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
996,2026-08-16T10:15:00Z,1,Tulkarem,o3,8.21,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
996,2026-08-16T10:15:00Z,1,Tulkarem,aqi,132.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
997,2026-08-16T10:30:00Z,1,Tulkarem,pm25,22.02,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
997,2026-08-16T10:30:00Z,1,Tulkarem,temperature,29.43,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
997,2026-08-16T10:30:00Z,1,Tulkarem,humidity,48.02,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
997,2026-08-16T10:30:00Z,1,Tulkarem,no2,12.27,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
997,2026-08-16T10:30:00Z,1,Tulkarem,o3,11.97,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
997,2026-08-16T10:30:00Z,1,Tulkarem,aqi,122.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
998,2026-08-16T10:45:00Z,1,Tulkarem,pm25,24.8,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
998,2026-08-16T10:45:00Z,1,Tulkarem,temperature,29.53,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
998,2026-08-16T10:45:00Z,1,Tulkarem,humidity,47.63,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
998,2026-08-16T10:45:00Z,1,Tulkarem,no2,12.21,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
998,2026-08-16T10:45:00Z,1,Tulkarem,o3,18.89,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
998,2026-08-16T10:45:00Z,1,Tulkarem,aqi,138.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
999,2026-08-16T11:00:00Z,1,Tulkarem,pm25,24.2,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
999,2026-08-16T11:00:00Z,1,Tulkarem,temperature,30.07,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
999,2026-08-16T11:00:00Z,1,Tulkarem,humidity,46.18,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
999,2026-08-16T11:00:00Z,1,Tulkarem,no2,12.1,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
999,2026-08-16T11:00:00Z,1,Tulkarem,o3,36.48,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
999,2026-08-16T11:00:00Z,1,Tulkarem,aqi,134.0,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
4179,2026-08-16T11:15:00Z,4,Nablus,pm25,22.98,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
4179,2026-08-16T11:15:00Z,4,Nablus,temperature,38.95,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
4179,2026-08-16T11:15:00Z,4,Nablus,humidity,44.15,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
4179,2026-08-16T11:15:00Z,4,Nablus,aqi,128.0,False,False,False,False,False,True,1,lof,NORMAL,MULTIVARIATE_ANOMALY
4185,2026-08-16T12:45:00Z,4,Nablus,pm25,20.94,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
4185,2026-08-16T12:45:00Z,4,Nablus,temperature,42.87,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
4185,2026-08-16T12:45:00Z,4,Nablus,humidity,38.12,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
4185,2026-08-16T12:45:00Z,4,Nablus,aqi,116.0,False,False,False,False,False,True,1,lof,SUSPICIOUS,MULTIVARIATE_ANOMALY
1013,2026-08-16T14:30:00Z,1,Tulkarem,pm25,18.08,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
1013,2026-08-16T14:30:00Z,1,Tulkarem,temperature,28.45,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
1013,2026-08-16T14:30:00Z,1,Tulkarem,humidity,49.41,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
1013,2026-08-16T14:30:00Z,1,Tulkarem,o3,4.93,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
1013,2026-08-16T14:30:00Z,1,Tulkarem,aqi,101.0,False,False,False,False,True,False,1,isolation_forest,NORMAL,MULTIVARIATE_ANOMALY
1015,2026-08-16T15:00:00Z,1,Tulkarem,pm25,16.63,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1015,2026-08-16T15:00:00Z,1,Tulkarem,temperature,28.39,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1015,2026-08-16T15:00:00Z,1,Tulkarem,humidity,49.81,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1015,2026-08-16T15:00:00Z,1,Tulkarem,no2,12.28,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1015,2026-08-16T15:00:00Z,1,Tulkarem,aqi,92.0,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
1020,2026-08-16T16:15:00Z,1,Tulkarem,pm25,20.39,False,False,False,False,True,False,1,isolation_forest,SUSPICIOUS,MULTIVARIATE_ANOMALY
