sensor_id,city,feature,lag_minutes,lag,autocorrelation,absolute_autocorrelation,pacf,n_observations
1,Tulkarem,humidity,60,1 h,0.9232463412786971,0.9232463412786971,-0.03721752543112458,1615
1,Tulkarem,pm25,15,15 min,0.9186948768796032,0.9186948768796032,0.9195947052320311,1618
2,Nablus,temperature,60,1 h,0.9163375580970082,0.9163375580970082,-0.12089595658177713,1572
1,Tulkarem,humidity,1440,24 h,0.9042448990684826,0.9042448990684826,-0.1462675686305571,1523
4,Nablus,aqi,30,30 min,0.9032555409150611,0.9032555409150611,0.30411693771521736,1587
1,Tulkarem,temperature,60,1 h,0.902197842573671,0.902197842573671,-0.015059302720055687,1617
1,Tulkarem,o3,30,30 min,0.9014716485819784,0.9014716485819784,0.0054981500101756,1619
5,Nablus,pm25,15,15 min,0.8981964676539793,0.8981964676539793,0.8817764212092967,822
2,Nablus,temperature,1440,24 h,0.885396882968916,0.885396882968916,-0.1433055553285714,1481
2,Nablus,aqi,30,30 min,0.8835048559946526,0.8835048559946526,0.06633201613520148,1574
2,Nablus,pm25,120,2 h,0.8707294797360473,0.8707294797360473,0.005312714383141141,1568
5,Nablus,aqi,15,15 min,0.8701402414172532,0.8701402414172532,0.8419597414937904,822
1,Tulkarem,no2,15,15 min,0.8561351542820419,0.8561351542820419,0.8557437126955673,1620
2,Nablus,humidity,120,2 h,0.8535306006525492,0.8535306006525492,-0.04027287720299541,1568
4,Nablus,aqi,60,1 h,0.85238735860721,0.85238735860721,-0.034756379599853844,1585
4,Nablus,humidity,120,2 h,0.8518909724896381,0.8518909724896381,-0.0036929169987220067,1581
1,Tulkarem,pm25,30,30 min,0.8508630043298723,0.8508630043298723,0.04062420434517524,1617
4,Nablus,pm25,120,2 h,0.8495367554644931,0.8495367554644931,0.0012039268832215197,1581
5,Nablus,pm25,30,30 min,0.8426697450528596,0.8426697450528596,0.17783650295019535,820
2,Nablus,aqi,60,1 h,0.8203574747038911,0.8203574747038911,0.05149239692603176,1572
5,Nablus,humidity,120,2 h,0.8200648041051415,0.8200648041051415,-0.07321363854751423,808
1,Tulkarem,o3,60,1 h,0.8042714974037066,0.8042714974037066,-0.029312200174256325,1617
2,Nablus,pm25,180,3 h,0.8038310889982917,0.8038310889982917,-0.0256259206217742,1564
5,Nablus,temperature,120,2 h,0.797908650445202,0.797908650445202,-0.09266660121324594,808
1,Tulkarem,humidity,120,2 h,0.7925275991350308,0.7925275991350308,-0.051078820700966907,1611
1,Tulkarem,aqi,15,15 min,0.7893730388140044,0.7893730388140044,0.7920268404111567,1620
5,Nablus,pm25,60,1 h,0.7875720072123781,0.7875720072123781,0.12371973282250104,816
1,Tulkarem,pm25,60,1 h,0.7874651309787164,0.7874651309787164,0.11771749230172064,1615
1,Tulkarem,temperature,720,12 h,-0.7831381461885025,0.7831381461885025,0.002064704107583543,1573
5,Nablus,aqi,30,30 min,0.7796333513456261,0.7796333513456261,0.07908431926361806,820
4,Nablus,temperature,120,2 h,0.7701376205454286,0.7701376205454286,-0.033884612230887366,1581
4,Nablus,pm25,180,3 h,0.7694905717161261,0.7694905717161261,0.005467342669293451,1577
1,Tulkarem,temperature,120,2 h,0.7660553171939702,0.7660553171939702,-0.11305275628646443,1613
5,Nablus,humidity,720,12 h,-0.7659398754043909,0.7659398754043909,0.016929169648903897,729
2,Nablus,temperature,120,2 h,0.7653149290531169,0.7653149290531169,0.023726725675913964,1568
1,Tulkarem,aqi,30,30 min,0.752418489974501,0.752418489974501,0.34151180806837006,1619
4,Nablus,humidity,1440,24 h,0.7488205116467783,0.7488205116467783,-0.07674138150862395,1494
2,Nablus,humidity,180,3 h,0.7468161193106712,0.7468161193106712,0.008173484810618982,1564
4,Nablus,aqi,120,2 h,0.7461442647043434,0.7461442647043434,-0.05013922040901555,1581
1,Tulkarem,humidity,720,12 h,-0.7458026027882865,0.7458026027882865,0.00996398761540373,1571
2,Nablus,aqi,120,2 h,0.733738529731656,0.733738529731656,-0.02856620868428756,1568
4,Nablus,humidity,180,3 h,0.7299566924761061,0.7299566924761061,0.04120351220621718,1577
1,Tulkarem,pm25,120,2 h,0.7174273271278893,0.7174273271278893,0.009626845392602666,1611
5,Nablus,pm25,120,2 h,0.7112705468591329,0.7112705468591329,0.03460334082718037,808
1,Tulkarem,no2,30,30 min,0.7084948615727238,0.7084948615727238,-0.09256095014077569,1619
1,Tulkarem,aqi,60,1 h,0.707983695212273,0.707983695212273,0.12576889021481757,1617
5,Nablus,temperature,720,12 h,-0.6918220974525996,0.6918220974525996,-0.03892107816889878,729
2,Nablus,humidity,1440,24 h,0.6915774019609473,0.6915774019609473,-0.0826013371657663,1481
4,Nablus,aqi,180,3 h,0.6818055638392864,0.6818055638392864,0.016330799051547346,1577
5,Nablus,aqi,60,1 h,0.6777139565600373,0.6777139565600373,0.11755579497151028,816
2,Nablus,aqi,180,3 h,0.649468747653512,0.649468747653512,-0.03159616610936007,1564
1,Tulkarem,aqi,120,2 h,0.6413738499746923,0.6413738499746923,0.012770362610625712,1613
5,Nablus,humidity,180,3 h,0.630523919344082,0.630523919344082,-0.036155921170850314,800
1,Tulkarem,humidity,180,3 h,0.62850430789555,0.62850430789555,-0.08296775503584657,1607
5,Nablus,pm25,180,3 h,0.6248876583734295,0.6248876583734295,-0.033832465996284526,800
1,Tulkarem,pm25,180,3 h,0.623826628045957,0.623826628045957,0.012780834978747612,1607
5,Nablus,aqi,120,2 h,0.6181654424878014,0.6181654424878014,-0.0248871515899838,808
2,Nablus,temperature,180,3 h,0.6117981391597982,0.6117981391597982,-0.033049079720511486,1564
1,Tulkarem,temperature,180,3 h,0.6057611535817765,0.6057611535817765,-0.05960372445159645,1609
1,Tulkarem,o3,120,2 h,0.6012152713199823,0.6012152713199823,-0.06515618461529857,1613
5,Nablus,temperature,180,3 h,0.5877564517730476,0.5877564517730476,-0.03915159721051698,800
2,Nablus,pm25,360,6 h,0.5828457218284188,0.5828457218284188,0.0018763538050687884,1553
1,Tulkarem,aqi,180,3 h,0.5751700454915915,0.5751700454915915,0.02218727689220804,1609
4,Nablus,temperature,180,3 h,0.5689202265251438,0.5689202265251438,-0.004702340755929935,1577
4,Nablus,pm25,360,6 h,0.5204427224494671,0.5204427224494671,-0.03569335024172457,1566
5,Nablus,aqi,180,3 h,0.5131759842590794,0.5131759842590794,-0.014454694833193053,800
2,Nablus,temperature,720,12 h,-0.5055980277090657,0.5055980277090657,-0.03916031482112491,1528
1,Tulkarem,no2,1440,24 h,0.5035903672148343,0.5035903672148343,0.011287852292670195,1525
2,Nablus,aqi,360,6 h,0.48356749265913834,0.48356749265913834,0.006176154039741939,1553
4,Nablus,temperature,720,12 h,-0.48283685292146883,0.48283685292146883,0.048329603758119295,1541
1,Tulkarem,no2,60,1 h,0.4818179528470127,0.4818179528470127,0.007904369947820289,1617
1,Tulkarem,o3,1440,24 h,0.4808001445418511,0.4808001445418511,-0.060035053950746244,1525
2,Nablus,pm25,1440,24 h,0.45884444518986234,0.45884444518986234,-0.02258108266737613,1481
4,Nablus,aqi,360,6 h,0.45862567520132425,0.45862567520132425,0.014780585709911934,1566
2,Nablus,humidity,360,6 h,0.456186139718476,0.456186139718476,-0.027575974458202573,1553
4,Nablus,pm25,1440,24 h,0.43594660044146977,0.43594660044146977,-0.03689126812764579,1494
1,Tulkarem,pm25,360,6 h,0.4225842979693605,0.4225842979693605,-0.03213918452110853,1596
1,Tulkarem,aqi,360,6 h,0.3964727160724253,0.3964727160724253,-0.030446421544274696,1598
1,Tulkarem,o3,180,3 h,0.389486225519607,0.389486225519607,0.019621543978458656,1609
4,Nablus,humidity,360,6 h,0.38358577069457606,0.38358577069457606,-0.0018019400147440035,1566
5,Nablus,pm25,1440,24 h,0.3796805859858236,0.3796805859858236,-0.051342430522073705,635
